Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9529
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0000
Water Temp (deg C),24.00
Room Temp (deg C),23.48
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,23.98
90.00,23.97
120.00,23.98
150.00,24.00
180.00,23.98
210.00,23.99
240.00,24.00
270.00,24.00
300.00,24.01
330.00,24.47
360.00,25.19
390.00,25.77
420.00,26.14
450.00,26.35
480.00,26.44
510.00,26.53
540.00,26.58
570.00,26.60
600.00,26.60
630.00,26.60
660.00,26.63
690.00,26.62
720.00,26.62
750.00,26.62
780.00,26.60
810.00,26.61
840.00,26.59
870.00,26.59
900.00,26.59
930.00,26.57
960.00,26.61
