Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9529
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.07
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,23.99
90.00,23.98
120.00,24.01
150.00,24.01
180.00,23.98
210.00,24.00
240.00,24.00
270.00,24.01
300.00,23.99
330.00,24.26
360.00,24.72
390.00,25.02
420.00,25.23
450.00,25.36
480.00,25.43
510.00,25.51
540.00,25.51
570.00,25.52
600.00,25.55
630.00,25.54
660.00,25.52
690.00,25.50
720.00,25.52
750.00,25.53
780.00,25.51
810.00,25.53
840.00,25.50
870.00,25.53
900.00,25.50
930.00,25.51
960.00,25.49
