Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9529
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0000
Water Temp (deg C),24.00
Room Temp (deg C),25.77
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,23.99
90.00,23.99
120.00,24.00
150.00,23.99
180.00,24.01
210.00,24.02
240.00,23.99
270.00,24.01
300.00,24.03
330.00,24.74
360.00,25.86
390.00,26.72
420.00,27.27
450.00,27.60
480.00,27.78
510.00,27.87
540.00,27.96
570.00,27.97
600.00,27.98
630.00,27.99
660.00,28.02
690.00,28.02
720.00,28.00
750.00,28.01
780.00,28.02
810.00,28.01
840.00,27.99
870.00,28.01
900.00,28.00
930.00,27.98
960.00,27.99
