Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9528
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0000
Water Temp (deg C),24.00
Room Temp (deg C),24.45
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,24.00
90.00,24.01
120.00,24.00
150.00,23.99
180.00,24.00
210.00,23.99
240.00,23.98
270.00,24.01
300.00,24.02
330.00,24.18
360.00,24.48
390.00,24.72
420.00,24.85
450.00,24.97
480.00,25.03
510.00,25.07
540.00,25.10
570.00,25.10
600.00,25.13
630.00,25.11
660.00,25.14
690.00,25.12
720.00,25.13
750.00,25.13
780.00,25.14
810.00,25.13
840.00,25.12
870.00,25.11
900.00,25.10
930.00,25.12
960.00,25.11
